Activity Id;Date;Type;Route Name;Distance (km);Duration;Average Pace;Average Speed (km/h);Calories Burned;Climb (m);Average Heart Rate (bpm);Friend's Tagged;Notes;GPX File
6234f4a9-ed4a-49cf-b2d3-eb481143654c;27.08.2019 19:00;Dance;;0;01:00:00;;;554;0;;Käsh,;;
ab6744f7-b413-45fd-b9ae-413e3453f8a1;22.08.2019 20:44;Walking;;1.7;35:47:00;21:06;2.84;108;11;;Käsh,;;2019-08-22-204403.gpx
0d67617d-ef8b-4d59-ab0a-1787ba2069a2;20.08.2019 19:10;Dance;;0;01:00:00;;;554;0;;Käsh,;;
0adb6208-a531-4d15-a494-2319c50a8ee2;12.05.2016 20:17;Cycling;;2.2;05:09;02:21;25.56;53;14;;;;2016-05-12-201747.gpx
b9b802ac-158f-4928-b41c-8199f6ef1d11;23.04.2016 19:59;Cycling;;2.14;05:10;02:25;24.8;51;13;;;;2016-04-23-195911.gpx
cedef85f-c445-4f91-9515-d0e1e6467ade;08.04.2016 23:26;Cycling;;2.18;05:11;02:23;25.13;54;13;;;;2016-04-08-232659.gpx
87b047c5-57b2-4227-bb23-f1d9ca049876;27.09.2015 07:50;Cycling;;2.04;05:24;02:39;22.62;46;13;;;;2015-09-27-075045.gpx
4bc637cc-5e52-4702-a98c-e2a9b3a5b34a;11.10.2015 19:05;Cycling;Acropolis run;2.02;05:33;02:45;21.82;54;14;;;;2015-10-11-190543.gpx
a9aff7eb-a925-4a7d-b1fe-dd37e1fd2a12;03.05.2016 20:34;Cycling;;2.05;05:35;02:44;21.98;50;14;;;;2016-05-03-203408.gpx
91b6a1f9-5331-4ee3-b9d1-efd7db7f2f76;18.03.2016 21:15;Cycling;;2.07;05:37;02:43;22.03;52;14;;;;2016-03-18-211514.gpx
1fe6acb7-34fe-4947-a9e0-bd4288c60fe4;25.11.2015 19:18;Cycling;;2;05:52;02:57;20.37;59;13;;;;2015-11-25-191814.gpx
dd56e0af-8459-4b8c-b281-3caddd419704;19.03.2016 20:09;Cycling;;2.33;05:55;02:33;23.59;53;15;;;;2016-03-19-200941.gpx
314d2879-2b3a-4586-8df4-b2c8d963bcaa;25.10.2015 16:58;Cycling;;2.05;06:01;02:56;20.45;47;10;;;;2015-10-25-165838.gpx
d127ad73-0a1f-4d3d-acd1-b7c82d55d1d8;19.01.2016 20:14;Cycling;;2.51;06:58;02:47;21.57;67;14;;;;2016-01-19-201426.gpx
